Campaign Name,Ad Group,Headline 1,Headline 2,Headline 3,Description,Final URL,Path 1,Path 2
Smart TV Content,Family Entertainment,Family Entertainment Hub,Kids Shows on Smart TV,Safe Family Streaming,"Thousands of family-friendly shows & movies. Smart TV & Android Box setup at StreamStickPro.com",https://streamstickpro.com,smart-tv,family
Smart TV Content,Music Streaming,Music Streaming on Smart TV,Spotify Apple Music,Your Music Hub,"Stream all music services on Smart TV. Complete setup at StreamStickPro.com",https://streamstickpro.com,smart-tv,music
Smart TV Content,Gaming,Gaming on Smart TV,Android Box Gaming,Big Screen Games,"Play thousands of games on Smart TV. Android Box gaming guide at StreamStickPro.com",https://streamstickpro.com,smart-tv,gaming
Cost Savings,Cut Cable,Cut Cable Save Money,Firestick Streaming Guide,StreamStickPro Setup,"Ditch expensive cable! Save $1000+ yearly with Firestick streaming. Complete guide at StreamStickPro.com",https://streamstickpro.com,save-money,cable
Cost Savings,Premium Channels,Premium Channels Free,HBO Showtime on Firestick,No Subscription Needed,"Access HBO, Showtime, Starz without subscriptions. Firestick setup guide at StreamStickPro.com",https://streamstickpro.com,premium,channels
Performance,No Buffering,No More Buffering,Smooth Firestick Streaming,HD Quality Guaranteed,"End buffering forever. Smooth streaming setup guide at StreamStickPro.com",https://streamstickpro.com,performance,buffering
Content Categories,Comedy,Comedy Specials on Firestick,Stand-Up Comedy Library,Laugh Every Day,"Unlimited comedy specials. Firestick comedy setup at StreamStickPro.com",https://streamstickpro.com,comedy,specials
Content Categories,Cooking,Cooking Shows on Firestick,Food Network Access,Master the Kitchen,"Unlimited cooking shows. Firestick food setup at StreamStickPro.com",https://streamstickpro.com,cooking,shows
Content Categories,Fitness,Workout Videos on Smart TV,Home Fitness Streaming,Gym at Home,"Thousands of workout videos. Smart TV fitness setup at StreamStickPro.com",https://streamstickpro.com,fitness,workouts
Content Categories,Travel,Travel Shows on Android Box,Explore the World,Travel Channel Access,"Watch travel shows from every country. Android Box setup at StreamStickPro.com",https://streamstickpro.com,travel,shows
Content Categories,Classic TV,Classic TV on Firestick,Nostalgia Streaming,Decades of TV History,"Watch classic shows from every era. Firestick setup at StreamStickPro.com",https://streamstickpro.com,classic-tv,shows
Content Categories,Horror,Horror Movies on Smart TV,Scary Movie Streaming,Thousands of Thrillers,"Access horror & thriller library. Smart TV setup at StreamStickPro.com",https://streamstickpro.com,horror,movies
Content Categories,Anime,Anime on Android Box,Largest Anime Collection,Thousands of Series,"Access world's largest anime library. Android Box setup at StreamStickPro.com",https://streamstickpro.com,anime,collection
Content Categories,Reality TV,Reality TV on Firestick,Unlimited Reality Shows,Binge-Watch Favorites,"Access all reality TV shows. Firestick setup at StreamStickPro.com",https://streamstickpro.com,reality-tv,shows
Content Categories,Sci-Fi,Sci-Fi Movies on Smart TV,Fantasy Streaming Library,Epic Adventures Await,"Thousands of sci-fi & fantasy movies. Smart TV setup at StreamStickPro.com",https://streamstickpro.com,sci-fi,movies
Content Categories,Action,Action Movies on Firestick,Blockbuster Action,Non-Stop Excitement,"Thousands of action movies. Firestick setup at StreamStickPro.com",https://streamstickpro.com,action,movies
Complete System,All Devices,Complete Streaming Setup,Firestick Android Box Smart TV,Maximum Streaming Power,"Complete guide for all devices. One-stop setup at StreamStickPro.com",https://streamstickpro.com,complete,setup

